genres,id,popularity,vote_average,vote_count,original_title,release_date,overview,tagline,title,rating,weighted_rating,description
"Comedy, Drama",3543,5.289632,7.0,76.0,Out of Rosenheim,1987-11-12,A surreal comedy depicting a diverse cast of characters and the changes they undergo as the German tourist Jasmin interacts with each of them at a remote truck stop in the middle of the Mojave desert.,Off Route 66 between Vegas and nowhere a little magic's going on...,Bagdad Cafe,3.977272727272727,3.35606594620098,A surreal comedy depicting a diverse cast of characters and the changes they undergo as the German tourist Jasmin interacts with each of them at a remote truck stop in the middle of the Mojave desert.Off Route 66 between Vegas and nowhere a little magic's going on...
"Comedy, Family, Science Fiction",2605,12.171218,6.4,535.0,Short Circuit,1986-05-09,"After a lightning bolt zaps a robot named Number 5, the lovable machine starts to think he's human and escapes the lab. Hot on his trail is his designer, Newton, who hopes to get to Number 5 before the military does. In the meantime, a spunky animal lover mistakes the robot for an alien and takes him in, teaching her new guest about life on Earth.",Something wonderful has happened... No. 5 is alive!,Short Circuit,3.1463414634146343,3.2964160627015797,"After a lightning bolt zaps a robot named Number 5, the lovable machine starts to think he's human and escapes the lab. Hot on his trail is his designer, Newton, who hopes to get to Number 5 before the military does. In the meantime, a spunky animal lover mistakes the robot for an alien and takes him in, teaching her new guest about life on Earth.Something wonderful has happened... No. 5 is alive!"
"Action, Horror, Science Fiction, Thriller",8337,11.292364,7.1,562.0,They Live,1988-11-23,"Nada, a down-on-his-luck construction worker, discovers a pair of special sunglasses. Wearing them, he is able to see the world as it really is: people being bombarded by media and government with messages like ""Stay Asleep"", ""No Imagination"", ""Submit to Authority"". Even scarier is that he is able to see that some usually normal-looking people are in fact ugly aliens in charge of the massive campaign to keep humans subdued.",Who are they? And what do they want?,They Live,3.6666666666666665,3.403239826378888,"Nada, a down-on-his-luck construction worker, discovers a pair of special sunglasses. Wearing them, he is able to see the world as it really is: people being bombarded by media and government with messages like ""Stay Asleep"", ""No Imagination"", ""Submit to Authority"". Even scarier is that he is able to see that some usually normal-looking people are in fact ugly aliens in charge of the massive campaign to keep humans subdued.Who are they? And what do they want?"
"Comedy, Drama, Romance",8463,1.14619,7.0,25.0,Torch Song Trilogy,1988-01-01,"A very personal story that is both funny and poignant, TORCH SONG TRILOGY chronicles a New Yorker's search for love, respect and tradition in a world that seems not especially made for him.",,Torch Song Trilogy,2.5,3.324337222956366,"A very personal story that is both funny and poignant, TORCH SONG TRILOGY chronicles a New Yorker's search for love, respect and tradition in a world that seems not especially made for him."
"Comedy, Fantasy",26603,9.39207,5.6,48.0,Vice Versa,1988-02-25,"A mysterious oriental skull transforms a father into his son, and vice versa.","Just when he was ready for mid-life crisis, something unexpected came up. Puberty.",Vice Versa,3.75,3.3431156461419085,"A mysterious oriental skull transforms a father into his son, and vice versa.Just when he was ready for mid-life crisis, something unexpected came up. Puberty."
"Adventure, Comedy, Science Fiction",1648,15.109261,6.7,464.0,Bill & Ted's Excellent Adventure,1989-02-17,"In the small town of San Dimas, a few miles away from Los Angeles, there are two nearly brain dead teenage boys going by the names of Bill S, Preston ESQ. and Ted Theodore Logan, they have a dream together of starting their own rock and roll band called the ""Wyld Stallyns"". Unfortunately, they are still in high school and on the verge of failing out of their school as well, and if they do not pass their upcoming history report, they will be separated as a result of Ted's father sending him to military school. But, what Bill and Ted do not know is that they must stay together to save the future. So, a man from the future named Rufus came to help them pass their report. So, both Bill and Ted decided to gather up historical figures which they need for their report. They are hoping that this will help them pass their report so they can stay together.",History is about to be rewritten by two guys who can't spell.,Bill & Ted's Excellent Adventure,3.1666666666666665,3.304137066298857,"In the small town of San Dimas, a few miles away from Los Angeles, there are two nearly brain dead teenage boys going by the names of Bill S, Preston ESQ. and Ted Theodore Logan, they have a dream together of starting their own rock and roll band called the ""Wyld Stallyns"". Unfortunately, they are still in high school and on the verge of failing out of their school as well, and if they do not pass their upcoming history report, they will be separated as a result of Ted's father sending him to military school. But, what Bill and Ted do not know is that they must stay together to save the future. So, a man from the future named Rufus came to help them pass their report. So, both Bill and Ted decided to gather up historical figures which they need for their report. They are hoping that this will help them pass their report so they can stay together.History is about to be rewritten by two guys who can't spell."
"Action, Thriller, Crime",4105,6.973408,6.2,250.0,Black Rain,1989-09-22,"Two New York cops get involved in a gang war between members of the Yakuza, the Japanese Mafia. They arrest one of their killers and are ordered to escort him back to Japan. In Japan, however, he manages to escape. As they try to track him down, they get deeper and deeper into the Japanese Mafia scene and they have to learn that they can only win by playing the game the Japanese way.",Their country. Their laws. Their game. His rules.,Black Rain,3.6458333333333335,3.366633540513707,"Two New York cops get involved in a gang war between members of the Yakuza, the Japanese Mafia. They arrest one of their killers and are ordered to escort him back to Japan. In Japan, however, he manages to escape. As they try to track him down, they get deeper and deeper into the Japanese Mafia scene and they have to learn that they can only win by playing the game the Japanese way.Their country. Their laws. Their game. His rules."
"Fantasy, Comedy, Science Fiction, Romance",3064,4.901036,6.5,66.0,Chances Are,1989-03-10,"Louie Jeffries is happily married to Corinne. On their first anniversary, Louie is killed crossing the road. Louie is reincarnated as Alex Finch, and twenty years later, fate brings Alex and Louie's daughter, Miranda, together. It's not until Alex is invited to Louie's home that he begins to remember his former life, wife and best friend. Of course, there's also the problem that he's attracted to Louie's/his own daughter.",,Chances Are,2.6666666666666665,3.313991034555544,"Louie Jeffries is happily married to Corinne. On their first anniversary, Louie is killed crossing the road. Louie is reincarnated as Alex Finch, and twenty years later, fate brings Alex and Louie's daughter, Miranda, together. It's not until Alex is invited to Louie's home that he begins to remember his former life, wife and best friend. Of course, there's also the problem that he's attracted to Louie's/his own daughter."
"Music, Comedy, Drama, Romance, Science Fiction",2210,11.509677,5.5,110.0,Earth Girls Are Easy,1988-09-08,"In this musical comedy, Valerie is dealing with her philandering fiancé, Ted, when she finds that a trio of aliens have crashed their spaceship into her swimming pool. Once the furry beings are shaved at her girlfriend's salon, the women discover three handsome men underneath. After absorbing the native culture via television, the spacemen are ready to hit the dating scene in 1980s Los Angeles.",Valerie's about to discover how far a girl has to go to find Mr. Right.,Earth Girls Are Easy,4.0,3.3665758596854913,"In this musical comedy, Valerie is dealing with her philandering fiancé, Ted, when she finds that a trio of aliens have crashed their spaceship into her swimming pool. Once the furry beings are shaved at her girlfriend's salon, the women discover three handsome men underneath. After absorbing the native culture via television, the spacemen are ready to hit the dating scene in 1980s Los Angeles.Valerie's about to discover how far a girl has to go to find Mr. Right."
Drama,4486,1.602592,6.8,21.0,Jésus de Montréal,1989-05-17,A group of actors putting on an interpretive Passion Play in Montreal begin to experience a meshing of their characters and their private lives as the production takes form against the growing opposition of the Catholic church.,,Jesus of Montreal,2.5,3.325864834210397,A group of actors putting on an interpretive Passion Play in Montreal begin to experience a meshing of their characters and their private lives as the production takes form against the growing opposition of the Catholic church.
"Mystery, Drama, Science Fiction, Thriller",4296,2.742085,5.0,45.0,Millennium,1989-08-25,An investigator seeking the cause of an airline disaster discovers the involvement of an organisation of time travellers from a future Earth irreparably polluted who seek to rejuvenate the human race from those about to die in the past. Based on a novel by John Varley.,Beyond the boundaries of time... they are waiting for you!,Millennium,2.75,3.3219377982328253,An investigator seeking the cause of an airline disaster discovers the involvement of an organisation of time travellers from a future Earth irreparably polluted who seek to rejuvenate the human race from those about to die in the past. Based on a novel by John Varley.Beyond the boundaries of time... they are waiting for you!
"Adventure, Action, Thriller, Science Fiction",331,0.648867,5.7,2109.0,Jurassic Park III,2001-07-18,"In need of funds for research, Dr. Alan Grant accepts a large sum of money to accompany Paul and Amanda Kirby on an aerial tour of the infamous Isla Sorna. It isn't long before all hell breaks loose and the stranded wayfarers must fight for survival as a host of new -- and even more deadly -- dinosaurs try to make snacks of them.","This time, it's not just a walk in the park!",Jurassic Park III,3.0,3.1681100305294105,"In need of funds for research, Dr. Alan Grant accepts a large sum of money to accompany Paul and Amanda Kirby on an aerial tour of the infamous Isla Sorna. It isn't long before all hell breaks loose and the stranded wayfarers must fight for survival as a host of new -- and even more deadly -- dinosaurs try to make snacks of them.This time, it's not just a walk in the park!"
"Crime, Drama, Thriller",327,8.134524,6.8,107.0,Brother,2000-09-09,"A Japanese Yakuza gangster’s deadly existence in his homeland gets him exiled to Los Angeles, California, where he is taken in by his little brother and his brother’s gang. This is the first English film by Takeshi Kitano.",Are You Japanese?,Brother,2.75,3.3061391154569577,"A Japanese Yakuza gangster’s deadly existence in his homeland gets him exiled to Los Angeles, California, where he is taken in by his little brother and his brother’s gang. This is the first English film by Takeshi Kitano.Are You Japanese?"
"Thriller, Science Fiction, Action, Adventure",869,17.319836,5.6,1270.0,Planet of the Apes,2001-07-25,"After a spectacular crash-landing on an uncharted planet, brash astronaut Leo Davidson finds himself trapped in a savage world where talking apes dominate the human race. Desperate to find a way home, Leo must evade the invincible gorilla army led by Ruthless General Thade.",You'll be sorry you were ever born human,Planet of the Apes,2.75,3.116325530342815,"After a spectacular crash-landing on an uncharted planet, brash astronaut Leo Davidson finds himself trapped in a savage world where talking apes dominate the human race. Desperate to find a way home, Leo must evade the invincible gorilla army led by Ruthless General Thade.You'll be sorry you were ever born human"
"Drama, Comedy, Romance",552,2.916247,7.0,35.0,Pane e Tulipani,2000-03-03,An endearing light comedy about a woman who spontaneously becomes a resident of Venice after her family left her begin. While enjoying the wonderful people she meets she achieves a new life and the first time independent of her family.,,Bread and Tulips,3.14,3.3308535073156,An endearing light comedy about a woman who spontaneously becomes a resident of Venice after her family left her begin. While enjoying the wonderful people she meets she achieves a new life and the first time independent of her family.
Comedy,2171,6.386082,6.4,271.0,Wet Hot American Summer,2001-07-27,"The setting is Camp Firewood, the year 1981. It's the last day before everyone goes back to the real world, but there's still a summer's worth of unfinished business to resolve. At the center of the action is camp director Beth, who struggles to keep order while she falls in love with the local astrophysics professor. He is busy trying to save the camp from a deadly piece of NASA's Skylab which is hurtling toward earth. All that, plus: a dangerous waterfall rescue, love triangles, misfits, cool kids, and talking vegetable cans. The questions will all be resolved, of course, at the big talent show at the end of the day.",High Times. Hard Bodies. Soft Rock.,Wet Hot American Summer,3.875,3.3948533297251986,"The setting is Camp Firewood, the year 1981. It's the last day before everyone goes back to the real world, but there's still a summer's worth of unfinished business to resolve. At the center of the action is camp director Beth, who struggles to keep order while she falls in love with the local astrophysics professor. He is busy trying to save the camp from a deadly piece of NASA's Skylab which is hurtling toward earth. All that, plus: a dangerous waterfall rescue, love triangles, misfits, cool kids, and talking vegetable cans. The questions will all be resolved, of course, at the big talent show at the end of the day.High Times. Hard Bodies. Soft Rock."
"Action, Comedy, Thriller, Crime, Family",6951,12.372038,5.9,335.0,Turner & Hooch,1989-07-28,"Scott Turner has 3 days left in the local police department before he moves to a bigger city to get some ""real"" cases, not just misdemeanors. Then Amos Reed is murdered, and Scott Turner sets himself on the case. The closest thing to a witness in the case is Amos Reed's dog, Hooch, which Scott Turner has to take care of if it's going to avoid being ""put to sleep"".",The Oddest Couple Ever Unleashed!,Turner & Hooch,2.3333333333333335,3.1984007730272226,"Scott Turner has 3 days left in the local police department before he moves to a bigger city to get some ""real"" cases, not just misdemeanors. Then Amos Reed is murdered, and Scott Turner sets himself on the case. The closest thing to a witness in the case is Amos Reed's dog, Hooch, which Scott Turner has to take care of if it's going to avoid being ""put to sleep"".The Oddest Couple Ever Unleashed!"
"Comedy, Drama, Family",2616,8.13754,6.6,338.0,Uncle Buck,1989-08-16,"As an idle, good-natured bachelor, Uncle Buck is the last person you would think of to watch the kids. However, during a family crisis, he is suddenly left in charge of his nephew and nieces. Unaccustomed to suburban life, fun-loving Uncle Buck soon charms his younger relatives Miles and Maizy with his hefty cooking and his new way of doing the laundry. His carefree style does not impress everyone though - especially his rebellious teenage niece, Tia, and his impatient girlfriend, Chanice. With a little bit of luck and a lot of love, Uncle Buck manages to surprise everyone in this heartwarming family comedy.",He's crude. He's crass. He's family.,Uncle Buck,2.6296296296296298,3.2378081435903683,"As an idle, good-natured bachelor, Uncle Buck is the last person you would think of to watch the kids. However, during a family crisis, he is suddenly left in charge of his nephew and nieces. Unaccustomed to suburban life, fun-loving Uncle Buck soon charms his younger relatives Miles and Maizy with his hefty cooking and his new way of doing the laundry. His carefree style does not impress everyone though - especially his rebellious teenage niece, Tia, and his impatient girlfriend, Chanice. With a little bit of luck and a lot of love, Uncle Buck manages to surprise everyone in this heartwarming family comedy.He's crude. He's crass. He's family."
"Comedy, Horror",7091,3.265426,6.0,75.0,Vampire's Kiss,1988-09-17,"A publishing executive is visited and bitten by a vampire and starts exhibiting erratic behavior. He pushes his secretary to extremes as he tries to come to terms with his affliction. The vampire continues to visit and drink his blood, and as his madness deepens, it begins to look as if some of the events he's experiencing may be hallucinations.",Seduction. Romance. Murder. The things one does for love.,Vampire's Kiss,4.111111111111111,3.3603220691419096,"A publishing executive is visited and bitten by a vampire and starts exhibiting erratic behavior. He pushes his secretary to extremes as he tries to come to terms with his affliction. The vampire continues to visit and drink his blood, and as his madness deepens, it begins to look as if some of the events he's experiencing may be hallucinations.Seduction. Romance. Murder. The things one does for love."
"Comedy, Drama, Thriller",249,5.963782,6.7,288.0,The War of the Roses,1989-12-08,"The Roses, Barbara and Oliver, live happily as a married couple. Then she starts to wonder what life would be like without Oliver, and likes what she sees. Both want to stay in the house, and so they begin a campaign to force each other to leave. In the middle of the fighting is D'Amato, the divorce lawyer. He gets to see how far both will go to get rid of the other, and boy do they go far.",Once in a lifetime comes a motion picture that makes you feel like falling in love all over again. This is not that movie.,The War of the Roses,3.375,3.338849410283711,"The Roses, Barbara and Oliver, live happily as a married couple. Then she starts to wonder what life would be like without Oliver, and likes what she sees. Both want to stay in the house, and so they begin a campaign to force each other to leave. In the middle of the fighting is D'Amato, the divorce lawyer. He gets to see how far both will go to get rid of the other, and boy do they go far.Once in a lifetime comes a motion picture that makes you feel like falling in love all over again. This is not that movie."
"Music, Drama, Crime, Romance",2148,9.508061,6.5,71.0,The Cotton Club,1984-12-14,"The story of the people that frequented Harlem's famous nightclubs, 'The Cotton Club', and those that ran it.",It was the jazz age. It was an era of elegance and violence. The action was gambling. The stakes were life and death.,The Cotton Club,3.6666666666666665,3.3446740221763527,"The story of the people that frequented Harlem's famous nightclubs, 'The Cotton Club', and those that ran it.It was the jazz age. It was an era of elegance and violence. The action was gambling. The stakes were life and death."
Thriller,2057,9.970359,5.8,200.0,Original Sin,2001-08-03,"A young man is plunged into a life of subterfuge, deceit and mistaken identity in pursuit of a femme fatale whose heart is never quite within his grasp",This is not a love story - it's a story about love.,Original Sin,3.75,3.369574008403483,"A young man is plunged into a life of subterfuge, deceit and mistaken identity in pursuit of a femme fatale whose heart is never quite within his graspThis is not a love story - it's a story about love."
Drama,1627,3.473672,7.3,65.0,L'Enfant sauvage,1970-02-26,"Director François Truffaut makes a rare on-screen appearance in one of his most unusual films. Based on a true story, the film follows the discovery of a feral child (Jean-Pierre Cargol) who's grown up wild in the forest in late-18th-century France. Truffaut plays Dr. Jean Itard, the deaf specialist who tries to civilize the boy, teaching him to walk, speak and read; the screenplay was adapted from Itard's writings.",At last an adult film to which you can take your children.,The Wild Child,2.8636363636363638,3.320097892521909,"Director François Truffaut makes a rare on-screen appearance in one of his most unusual films. Based on a true story, the film follows the discovery of a feral child (Jean-Pierre Cargol) who's grown up wild in the forest in late-18th-century France. Truffaut plays Dr. Jean Itard, the deaf specialist who tries to civilize the boy, teaching him to walk, speak and read; the screenplay was adapted from Itard's writings.At last an adult film to which you can take your children."
"Comedy, Romance",2770,10.25103,6.0,1375.0,American Pie 2,2001-08-10,"The whole gang are back and as close as ever. They decide to get even closer by spending the summer together at a beach house. They decide to hold the biggest party ever to be seen, even if the preparation doesn't always go to plan. Especially when Stifler, Finch and Jim become more close to each other than they ever want to be and when Jim mistakes super glue for lubricant...",This Summer It's All About Sticking Together.,American Pie 2,3.0686274509803924,3.230104481065105,"The whole gang are back and as close as ever. They decide to get even closer by spending the summer together at a beach house. They decide to hold the biggest party ever to be seen, even if the preparation doesn't always go to plan. Especially when Stifler, Finch and Jim become more close to each other than they ever want to be and when Jim mistakes super glue for lubricant...This Summer It's All About Sticking Together."
"Horror, Drama, Mystery, Thriller",1933,11.046007,7.4,1708.0,The Others,2001-08-02,"Grace is a religious woman who lives in an old house kept dark because her two children, Anne and Nicholas, have a rare sensitivity to light. When the family begins to suspect the house is haunted, Grace fights to protect her children at any cost in the face of strange events and disturbing visions.","Sooner or later she'll see them, then everything will be different.",The Others,5.0,4.073951175307019,"Grace is a religious woman who lives in an old house kept dark because her two children, Anne and Nicholas, have a rare sensitivity to light. When the family begins to suspect the house is haunted, Grace fights to protect her children at any cost in the face of strange events and disturbing visions.Sooner or later she'll see them, then everything will be different."
"Drama, History, Romance",1722,9.243715,5.6,146.0,Captain Corelli's Mandolin,2001-08-17,"When a Greek fisherman leaves to fight with the Greek army during WWII, his fiancee falls in love with the local Italian commander. The film is based on a novel about an Italian soldier's experiences during the Italian occupation of the Greek island of Cephalonia (Kefalonia), but Hollywood made it into a pure love story by removing much of the ""unpleasant"" stuff.",,Captain Corelli's Mandolin,3.2857142857142856,3.330892721855672,"When a Greek fisherman leaves to fight with the Greek army during WWII, his fiancee falls in love with the local Italian commander. The film is based on a novel about an Italian soldier's experiences during the Italian occupation of the Greek island of Cephalonia (Kefalonia), but Hollywood made it into a pure love story by removing much of the ""unpleasant"" stuff."
"Comedy, Crime, Mystery, Romance, Thriller",2779,5.739829,6.5,167.0,The Curse of the Jade Scorpion,2001-08-05,"CW Briggs is a veteran insurance investigator, with many successes. Betty Ann Fitzgerald is a new employee in the company he works for, with the task of reorganizing the office. They don't like each other - or at least that's what they think. During a night out with the rest of the office employees, they go to watch Voltan, a magician who secretly hypnotizes both of them.",Love stings,The Curse of the Jade Scorpion,3.642857142857143,3.3563620687786004,"CW Briggs is a veteran insurance investigator, with many successes. Betty Ann Fitzgerald is a new employee in the company he works for, with the task of reorganizing the office. They don't like each other - or at least that's what they think. During a night out with the rest of the office employees, they go to watch Voltan, a magician who secretly hypnotizes both of them.Love stings"
Comedy,2294,11.619446,6.4,491.0,Jay and Silent Bob Strike Back,2001-08-22,"When Jay and Silent Bob learn that their comic-book alter egos, Bluntman and Chronic, have been sold to Hollywood as part of a big-screen movie that leaves them out of any royalties, the pair travels to Tinseltown to sabotage the production.",Hollywood had it coming,Jay and Silent Bob Strike Back,3.2735849056603774,3.3226971403166776,"When Jay and Silent Bob learn that their comic-book alter egos, Bluntman and Chronic, have been sold to Hollywood as part of a big-screen movie that leaves them out of any royalties, the pair travels to Tinseltown to sabotage the production.Hollywood had it coming"
"Drama, Comedy, Romance",742,3.358638,6.8,71.0,Tillsammans,2000-08-25,"Elisabeth leaves her abusive and drunken husband Rolf, and goes to live with her brother, Göran. The year is 1975 and Göran lives in a commune called Together. Living in this leftist commune Elisabeth learns that the world can be viewed from different perspectives.",,Together,2.75,3.315204548174391,"Elisabeth leaves her abusive and drunken husband Rolf, and goes to live with her brother, Göran. The year is 1975 and Göran lives in a commune called Together. Living in this leftist commune Elisabeth learns that the world can be viewed from different perspectives."
"Drama, Thriller",2176,6.418936,5.4,203.0,The Glass House,2001-09-14,"After the parents of Ruby and her younger brother, Rhett, are killed in a car crash, their parents' best friends, Erin and Terry Glass, become their guardians. The children hear promises of a world of opulence and California fun -- all they have to do is move into the Glasses' gated house. Before very long, though, Ruby suspects that Erin and Terry may not be the ideal guardians they seemed to be.",The glass is about to be shattered...,The Glass House,3.8333333333333335,3.3772894301686858,"After the parents of Ruby and her younger brother, Rhett, are killed in a car crash, their parents' best friends, Erin and Terry Glass, become their guardians. The children hear promises of a world of opulence and California fun -- all they have to do is move into the Glasses' gated house. Before very long, though, Ruby suspects that Erin and Terry may not be the ideal guardians they seemed to be.The glass is about to be shattered..."
"Action, Crime, Drama, Thriller",2034,13.664622,7.3,1665.0,Training Day,2001-10-05,"On his first day on the job as a narcotics officer, a rookie cop works with a rogue detective who isn't what he appears.","The only thing more dangerous than the line being crossed, is the cop who will cross it.",Training Day,3.2222222222222223,3.2850438513196956,"On his first day on the job as a narcotics officer, a rookie cop works with a rogue detective who isn't what he appears.The only thing more dangerous than the line being crossed, is the cop who will cross it."
"Comedy, Drama",248,2.649605,7.3,25.0,Pocketful of Miracles,1961-12-18,"Damon Runyon's fairytale, sweet and funny, is told by director Frank Capra. Boozy, brassy Apple Annie, a beggar with a basket of apples, is as much as part of downtown New York as old Broadway itself. Bootlegger Dave the Dude is a sucker for her apples --- he thinks they bring him luck. But Dave and girlfriend Queenie Martin need a lot more than luck when it turns out that Annie is in a jam and only they can help: Annie's daughter Louise, who has lived all her life in a Spanish convent, is coming to America with a Count and his son. The count's son wants to marry Louise, who thinks her mother is part of New York society. It's up to Dave and Queenie and their Runyonesque cronies to turn Annie into a lady and convince the Count and his son that they are hobnobbing with New York's elite.",You have to see it to believe it!,Pocketful of Miracles,3.1538461538461537,3.331896138029732,"Damon Runyon's fairytale, sweet and funny, is told by director Frank Capra. Boozy, brassy Apple Annie, a beggar with a basket of apples, is as much as part of downtown New York as old Broadway itself. Bootlegger Dave the Dude is a sucker for her apples --- he thinks they bring him luck. But Dave and girlfriend Queenie Martin need a lot more than luck when it turns out that Annie is in a jam and only they can help: Annie's daughter Louise, who has lived all her life in a Spanish convent, is coming to America with a Count and his son. The count's son wants to marry Louise, who thinks her mother is part of New York society. It's up to Dave and Queenie and their Runyonesque cronies to turn Annie into a lady and convince the Count and his son that they are hobnobbing with New York's elite.You have to see it to believe it!"
"Crime, Drama",1623,14.503963,7.1,98.0,Brubaker,1980-06-20,The new warden of a small prison farm in Arkansas tries to clean it up of corruption after initially posing as an inmate.,One man against a cruel system.,Brubaker,2.3,3.2886509705404348,The new warden of a small prison farm in Arkansas tries to clean it up of corruption after initially posing as an inmate.One man against a cruel system.
"Thriller, Drama, Mystery",1018,18.184056,7.7,1517.0,Mulholland Drive,2001-05-16,"After a car wreck on the winding Mulholland Drive renders a woman amnesic, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",An actress longing to be a star. A woman searching for herself. Both worlds will collide... on Mulholland Drive.,Mulholland Drive,3.4,3.361384387643492,"After a car wreck on the winding Mulholland Drive renders a woman amnesic, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.An actress longing to be a star. A woman searching for herself. Both worlds will collide... on Mulholland Drive."
"Action, Crime, Thriller",984,10.255315,7.4,630.0,Dirty Harry,1971-12-21,"When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself.",Detective Harry Callahan. He doesn't break murder cases. He smashes them.,Dirty Harry,4.5,3.5994143612080003,"When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself.Detective Harry Callahan. He doesn't break murder cases. He smashes them."
"Action, Drama, Thriller",2100,9.807552,7.0,290.0,The Last Castle,2001-10-19,A Court Martialed general rallies together 1200 inmates to rise against the system that put him away.,A Castle Can Only Have One King,The Last Castle,3.1634615384615383,3.3136078643859888,A Court Martialed general rallies together 1200 inmates to rise against the system that put him away.A Castle Can Only Have One King
"Drama, Science Fiction",167,12.400152,7.1,710.0,K-PAX,2001-10-22,"Prot is a patient at a mental hospital who claims to be from a far away Planet. His psychiatrist tries to help him, only to begin to doubt his own explanations.",Change the way you look at the world.,K-PAX,4.0,3.5000453888123406,"Prot is a patient at a mental hospital who claims to be from a far away Planet. His psychiatrist tries to help him, only to begin to doubt his own explanations.Change the way you look at the world."
"Fantasy, Drama, Mystery",141,18.303148,7.7,3574.0,Donnie Darko,2001-01-18,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",You can never go too far,Donnie Darko,3.5806451612903225,3.4883314455212737,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.You can never go too far"
"Animation, Comedy, Family",585,26.419962,7.5,6150.0,"Monsters, Inc.",2001-11-01,"James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. When a child accidentally enters their world, James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world.",We Scare Because We Care.,"Monsters, Inc.",3.073170731707317,3.1404379179056585,"James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. When a child accidentally enters their world, James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world.We Scare Because We Care."
"Adventure, Fantasy, Family",671,38.187238,7.5,7188.0,Harry Potter and the Philosopher's Stone,2001-11-16,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.",Let the Magic Begin.,Harry Potter and the Philosopher's Stone,4.03030303030303,3.8706983460898954,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.Let the Magic Begin."
"Action, Crime, Thriller",1535,18.186839,6.8,592.0,Spy Game,2001-11-18,"Veteran spy Nathan Muir is on the verge of retiring from the CIA when he learns that his one-time protégé and close friend, Tom Bishop, is a political prisoner sentenced to die in Beijing. Although their friendship has been marred by bad blood and resentment, Muir agrees to take on the most dangerous mission of his career and rescue Bishop.",It's not how you play the game. It's how the game plays you.,Spy Game,3.8,3.4350537624631405,"Veteran spy Nathan Muir is on the verge of retiring from the CIA when he learns that his one-time protégé and close friend, Tom Bishop, is a political prisoner sentenced to die in Beijing. Although their friendship has been marred by bad blood and resentment, Muir agrees to take on the most dangerous mission of his career and rescue Bishop.It's not how you play the game. It's how the game plays you."
"Fantasy, Drama, Horror, Thriller, Science Fiction",1433,11.111299,7.2,277.0,El espinazo del diablo,2001-04-20,"After losing his father, 10-year-old Carlos arrives at the Santa Lucia School, which shelters orphans of the Republican militia and politicians, and is taken in by the steely headmistress, Carmen, and the kindly professor, Casares. Soon after his arrival, Carlos has a run-in with the violent caretaker, Jacinto. Gradually, Carlos uncovers the secrets of the school, including the youthful ghost that wanders the grounds.",The living will always be more dangerous than the dead.,The Devil's Backbone,3.0,3.295663385646362,"After losing his father, 10-year-old Carlos arrives at the Santa Lucia School, which shelters orphans of the Republican militia and politicians, and is taken in by the steely headmistress, Carmen, and the kindly professor, Casares. Soon after his arrival, Carlos has a run-in with the violent caretaker, Jacinto. Gradually, Carlos uncovers the secrets of the school, including the youthful ghost that wanders the grounds.The living will always be more dangerous than the dead."
